Area,Region,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
El Salvador,Americas,86.67,10.91,448.34,94.78,-15.76,2635.0,1991.0,2024.0
Equatorial Guinea,Africa,71.34,2.59,116.51,55.46,-24.15,1088.0,1991.0,2024.0
Eritrea,Africa,62.56,3.13,182.89,32.51,133.24,1792.0,1993.0,2024.0
Estonia,Europe,90.86,2.92,422.19,99.44,33.3,1980.0,1992.0,2024.0
Ethiopia,Africa,72.97,2.18,696.87,98.52,285.55,3610.0,1993.0,2024.0
Fiji,Oceania,76.72,0.82,298.65,306.81,126.85,1680.0,1991.0,2024.0
Finland,Europe,99.15,33.13,395.76,42.19,52.78,2140.0,1991.0,2024.0
France,Europe,90.11,17.26,483.92,45.72,54.44,4266.0,1991.0,2024.0
Gambia,Africa,65.29,1.36,333.89,235.35,233.88,1564.0,1991.0,2024.0
Georgia,Asia,92.02,0.0,903.82,844.83,93.04,2563.0,1994.0,2024.0
Germany,Europe,97.81,11.65,388.67,75.5,53.46,3223.0,1991.0,2024.0
Ghana,Africa,65.12,0.11,625.24,1171.78,523.36,2670.0,1991.0,2024.0
Greece,Europe,92.87,9.74,400.47,56.63,42.2,4512.0,1991.0,2024.0
Grenada,Americas,98.68,18.0,200.85,33.07,31.76,852.0,1993.0,2024.0
Guinea,Africa,105.59,3.65,3257.82,295.31,334.94,2319.0,1991.0,2024.0
Guinea-Bissau,Africa,101.57,24.48,224.23,23.16,8.52,851.0,1998.0,2024.0
Guyana,Americas,127.05,3.22,2657.16,166.39,111.3,1458.0,1991.0,2024.0
Honduras,Americas,74.44,1.25,235.89,107.44,51.98,3026.0,1991.0,2024.0
Hungary,Europe,83.62,4.18,758.26,78.17,99.61,4066.0,1991.0,2024.0
Iceland,Europe,80.22,19.29,225.93,46.54,74.93,1059.0,1991.0,2024.0
India,Asia,69.54,3.35,200.33,26.0,84.59,4148.0,1991.0,2024.0
Indonesia,Asia,63.81,2.15,677.95,125.27,66.51,3516.0,1991.0,2024.0
Iran (Islamic Republic of),Asia,125.58,0.27,2822.21,101.22,3160.11,4306.0,1991.0,2024.0
Iraq,Asia,84.93,0.01,289.83,767.94,17.08,1482.0,1991.0,2024.0
Ireland,Europe,90.53,28.69,263.09,38.18,49.5,2210.0,1991.0,2024.0
Israel,Asia,78.3,1.38,248.44,66.68,21.92,3861.0,1991.0,2024.0
Italy,Europe,94.4,20.03,339.21,40.76,53.64,4452.0,1991.0,2024.0
Jamaica,Americas,78.29,1.33,950.38,135.5,202.24,2747.0,1991.0,2024.0
Japan,Asia,106.13,16.32,568.82,78.93,18.32,3556.0,1991.0,2024.0
Jordan,Asia,72.44,11.35,377.16,62.84,32.54,3193.0,1991.0,2024.0
Kazakhstan,Asia,80.09,1.22,896.1,77.83,284.54,3267.0,1994.0,2024.0
Kenya,Africa,74.86,2.18,671.69,102.13,90.53,4114.0,1991.0,2024.0
Kuwait,Asia,99.1,24.0,293.7,111.05,,493.0,2014.0,2024.0
Kyrgyzstan,Asia,89.34,3.83,1259.23,102.65,160.1,2862.0,1998.0,2024.0
Lao People's Democratic Republic,Asia,63.27,0.61,184.68,124.4,-5.75,2244.0,1991.0,2024.0
Latvia,Europe,92.21,5.71,535.21,98.04,44.35,2526.0,1992.0,2024.0
Lebanon,Asia,75.25,0.45,391.61,154.46,81.4,3318.0,1991.0,2024.0
Lithuania,Europe,96.49,0.84,404.72,133.57,48.93,2734.0,1992.0,2024.0
Luxembourg,Europe,104.46,33.81,236.54,38.45,39.91,1500.0,2000.0,2024.0
Madagascar,Africa,70.41,0.3,2215.41,390.87,49.45,4012.0,1991.0,2024.0
Malawi,Africa,85.8,0.35,683.85,215.28,862.1,2310.0,1996.0,2024.0
Malaysia,Asia,80.01,7.7,327.43,51.4,21.45,2873.0,1991.0,2024.0
Maldives,Asia,79.59,3.24,202.3,130.8,61.33,517.0,2002.0,2024.0
Mali,Africa,88.11,2.35,651.0,229.03,43.84,3147.0,1991.0,2024.0
Malta,Europe,93.54,12.77,342.96,56.7,74.29,2278.0,1991.0,2024.0
Mauritius,Africa,88.98,16.2,515.55,47.01,100.36,2482.0,1991.0,2024.0
Mexico,Americas,79.35,2.83,1139.64,115.57,-7.6,5364.0,1991.0,2024.0
Mongolia,Asia,76.85,2.0,750.38,84.72,157.77,1472.0,1993.0,2024.0
Morocco,Africa,95.5,11.06,556.98,43.5,22.45,4603.0,1991.0,2024.0
Mozambique,Africa,73.58,0.22,332.52,322.69,208.47,2526.0,1991.0,2024.0
Myanmar,Asia,70.05,0.32,536.73,189.03,262.08,2821.0,1991.0,2024.0
Namibia,Africa,84.47,9.55,339.36,51.01,4.18,1632.0,1991.0,2024.0
Nepal,Asia,74.33,4.43,498.9,83.12,84.72,3074.0,1991.0,2024.0
Netherlands (Kingdom of the),Europe,105.43,22.72,538.48,54.53,59.5,2897.0,1991.0,2024.0
New Caledonia,Oceania,114.06,36.27,188.0,27.75,,397.0,2015.0,2024.0
New Zealand,Oceania,87.45,21.96,215.86,32.49,30.89,3400.0,1991.0,2024.0
Nicaragua,Americas,70.1,3.57,310.0,94.71,80.2,2046.0,1991.0,2023.0
Niger,Africa,71.95,3.92,169.16,117.7,-44.7,2662.0,1991.0,2024.0
Nigeria,Africa,81.58,1.27,680.1,163.15,75.07,2787.0,1991.0,2024.0
North Macedonia,Europe,89.41,0.84,920.61,113.25,80.67,2933.0,1992.0,2024.0
Norway,Europe,89.53,4.07,453.1,114.32,67.86,2213.0,1991.0,2024.0
Oman,Asia,106.89,27.53,527.43,63.77,,465.0,2011.0,2024.0
Pakistan,Asia,71.5,0.53,644.51,198.29,322.7,3842.0,1991.0,2024.0
Palestine,Asia,78.53,5.18,251.67,79.32,5.72,2639.0,1996.0,2024.0
Panama,Americas,75.31,9.71,305.32,73.44,20.6,2226.0,1991.0,2024.0
Paraguay,Americas,72.23,3.21,741.34,98.81,73.05,3153.0,1991.0,2024.0
Peru,Americas,79.23,2.37,766.76,89.35,89.09,4613.0,1991.0,2024.0
Philippines,Asia,80.7,3.91,444.53,64.66,72.63,3939.0,1991.0,2024.0
Poland,Europe,85.67,4.06,484.91,52.55,80.65,3420.0,1991.0,2024.0
Portugal,Europe,95.89,4.88,1056.86,126.19,53.18,3930.0,1991.0,2024.0
Puerto Rico,Americas,84.44,10.31,273.59,95.8,2.17,2414.0,1991.0,2024.0
Qatar,Asia,86.26,18.37,344.19,52.38,55.79,1888.0,1991.0,2024.0
Republic of Korea,Asia,88.95,7.26,485.01,119.95,43.39,3230.0,1991.0,2024.0
Republic of Moldova,Europe,77.64,2.87,370.21,77.69,74.39,2871.0,1994.0,2024.0
Romania,Europe,75.44,0.29,306.63,91.25,85.66,3502.0,1993.0,2024.0
Russian Federation,Europe,63.18,0.01,571.72,60.92,160.96,3590.0,1992.0,2024.0
Rwanda,Africa,81.17,3.24,2000.51,93.98,166.37,2271.0,1991.0,2024.0
Saint Kitts and Nevis,Americas,98.34,40.0,167.72,48.84,,270.0,2015.0,2024.0
